game_date_est,game_id,game_status_text,pts_home,pts_away,home_team_wins,year,city_home,nickname_home,city_away,nickname_away,total_points
2022-12-22,22200477,Final,126.0,117.0,1,2022,New Orleans,Pelicans,San Antonio,Spurs,243.0
2022-12-22,22200478,Final,120.0,112.0,1,2022,Utah,Jazz,Washington,Wizards,232.0
2022-12-21,22200466,Final,114.0,106.0,1,2022,Cleveland,Cavaliers,Milwaukee,Bucks,220.0
2022-12-21,22200467,Final,113.0,93.0,1,2022,Philadelphia,76ers,Detroit,Pistons,206.0
2022-12-21,22200468,Final,108.0,110.0,0,2022,Atlanta,Hawks,Chicago,Bulls,218.0
2022-12-21,22200469,Final,112.0,117.0,0,2022,Boston,Celtics,Indiana,Pacers,229.0
2022-12-21,22200470,Final,143.0,113.0,1,2022,Brooklyn,Nets,Golden State,Warriors,256.0
2022-12-21,22200471,Final,106.0,113.0,0,2022,New York,Knicks,Toronto,Raptors,219.0
2022-12-21,22200472,Final,110.0,116.0,0,2022,Houston,Rockets,Orlando,Magic,226.0
2022-12-21,22200473,Final,99.0,104.0,0,2022,Minnesota,Timberwolves,Dallas,Mavericks,203.0
2022-12-21,22200474,Final,101.0,98.0,1,2022,Oklahoma City,Thunder,Portland,Trail Blazers,199.0
2022-12-21,22200475,Final,134.0,120.0,1,2022,Sacramento,Kings,Los Angeles,Lakers,254.0
2022-12-21,22200476,Final,126.0,105.0,1,2022,Los Angeles,Clippers,Charlotte,Hornets,231.0
2022-12-20,22200461,Final,111.0,126.0,0,2022,Detroit,Pistons,Utah,Jazz,237.0
2022-12-20,22200462,Final,103.0,113.0,0,2022,Miami,Heat,Chicago,Bulls,216.0
2022-12-20,22200463,Final,132.0,94.0,1,2022,New York,Knicks,Golden State,Warriors,226.0
2022-12-20,22200464,Final,110.0,113.0,0,2022,Phoenix,Suns,Washington,Wizards,223.0
2022-12-20,22200465,Final,105.0,91.0,1,2022,Denver,Nuggets,Memphis,Grizzlies,196.0
2022-12-19,22200452,Final,122.0,99.0,1,2022,Cleveland,Cavaliers,Utah,Jazz,221.0
2022-12-19,22200453,Final,104.0,101.0,1,2022,Philadelphia,76ers,Toronto,Raptors,205.0
2022-12-19,22200454,Final,126.0,125.0,1,2022,Atlanta,Hawks,Orlando,Magic,251.0
2022-12-19,22200455,Final,105.0,124.0,0,2022,Houston,Rockets,San Antonio,Spurs,229.0
2022-12-19,22200456,Final,116.0,106.0,1,2022,Minnesota,Timberwolves,Dallas,Mavericks,222.0
2022-12-19,22200457,Final,119.0,128.0,0,2022,New Orleans,Pelicans,Milwaukee,Bucks,247.0
2022-12-19,22200458,Final,123.0,121.0,1,2022,Oklahoma City,Thunder,Portland,Trail Blazers,244.0
2022-12-19,22200459,Final,130.0,104.0,1,2022,Phoenix,Suns,Los Angeles,Lakers,234.0
2022-12-19,22200460,Final,119.0,125.0,0,2022,Sacramento,Kings,Charlotte,Hornets,244.0
2022-12-18,22200445,Final,92.0,95.0,0,2022,Boston,Celtics,Orlando,Magic,187.0
2022-12-18,22200446,Final,106.0,109.0,0,2022,Indiana,Pacers,New York,Knicks,215.0
2022-12-18,22200447,Final,121.0,124.0,0,2022,Detroit,Pistons,Brooklyn,Nets,245.0
2022-12-18,22200448,Final,110.0,126.0,0,2022,Toronto,Raptors,Golden State,Warriors,236.0
2022-12-18,22200449,Final,150.0,126.0,1,2022,Minnesota,Timberwolves,Chicago,Bulls,276.0
2022-12-18,22200450,Final,119.0,115.0,1,2022,Denver,Nuggets,Charlotte,Hornets,234.0
2022-12-18,22200451,Final,119.0,117.0,1,2022,Los Angeles,Lakers,Washington,Wizards,236.0
2022-12-17,22200438,Final,102.0,93.0,1,2022,Los Angeles,Clippers,Washington,Wizards,195.0
2022-12-17,22200439,Final,101.0,111.0,0,2022,San Antonio,Spurs,Miami,Heat,212.0
2022-12-17,22200440,Final,100.0,99.0,1,2022,Cleveland,Cavaliers,Dallas,Mavericks,199.0
2022-12-17,22200441,Final,95.0,107.0,0,2022,Houston,Rockets,Portland,Trail Blazers,202.0
2022-12-17,22200442,Final,123.0,97.0,1,2022,Milwaukee,Bucks,Utah,Jazz,220.0
2022-12-17,22200443,Final,115.0,109.0,1,2022,Oklahoma City,Thunder,Memphis,Grizzlies,224.0
2022-12-17,22200444,Final,118.0,114.0,1,2022,Phoenix,Suns,New Orleans,Pelicans,232.0
2022-12-16,22200428,Final,106.0,125.0,0,2022,Charlotte,Hornets,Atlanta,Hawks,231.0
2022-12-16,22200429,Final,113.0,122.0,0,2022,Detroit,Pistons,Sacramento,Kings,235.0
2022-12-16,22200430,Final,109.0,117.0,0,2022,Boston,Celtics,Orlando,Magic,226.0
2022-12-16,22200431,Final,118.0,112.0,1,2022,Cleveland,Cavaliers,Indiana,Pacers,230.0
2022-12-16,22200432,Final,118.0,106.0,1,2022,Philadelphia,76ers,Golden State,Warriors,224.0
2022-12-16,22200433,Final,116.0,119.0,0,2022,Toronto,Raptors,Brooklyn,Nets,235.0
2022-12-16,22200434,Final,91.0,114.0,0,2022,Chicago,Bulls,New York,Knicks,205.0
2022-12-16,22200435,Final,110.0,112.0,0,2022,Oklahoma City,Thunder,Minnesota,Timberwolves,222.0
2022-12-16,22200436,Final,130.0,110.0,1,2022,Dallas,Mavericks,Portland,Trail Blazers,240.0
2022-12-16,22200437,Final,126.0,108.0,1,2022,Los Angeles,Lakers,Denver,Nuggets,234.0
2022-12-15,22200424,Final,108.0,111.0,0,2022,Houston,Rockets,Miami,Heat,219.0
2022-12-15,22200425,Final,142.0,101.0,1,2022,Memphis,Grizzlies,Milwaukee,Bucks,243.0
2022-12-15,22200426,Final,132.0,129.0,1,2022,Utah,Jazz,New Orleans,Pelicans,261.0
2022-12-15,22200427,Final,95.0,111.0,0,2022,Los Angeles,Clippers,Phoenix,Suns,206.0
2022-12-14,22200414,Final,134.0,141.0,0,2022,Charlotte,Hornets,Detroit,Pistons,275.0
2022-12-14,22200415,Final,125.0,119.0,1,2022,Indiana,Pacers,Golden State,Warriors,244.0
2022-12-14,22200416,Final,135.0,124.0,1,2022,Orlando,Magic,Atlanta,Hawks,259.0
2022-12-14,22200417,Final,123.0,124.0,0,2022,Toronto,Raptors,Sacramento,Kings,247.0
2022-12-14,22200418,Final,120.0,128.0,0,2022,Chicago,Bulls,New York,Knicks,248.0
2022-12-14,22200419,Final,108.0,110.0,0,2022,Oklahoma City,Thunder,Miami,Heat,218.0
2022-12-14,22200420,Final,112.0,128.0,0,2022,San Antonio,Spurs,Portland,Trail Blazers,240.0
2022-12-14,22200421,Final,90.0,105.0,0,2022,Dallas,Mavericks,Cleveland,Cavaliers,195.0
2022-12-14,22200422,Final,141.0,128.0,1,2022,Denver,Nuggets,Washington,Wizards,269.0
2022-12-14,22200423,Final,99.0,88.0,1,2022,Los Angeles,Clippers,Minnesota,Timberwolves,187.0
2022-12-13,22200409,Final,123.0,103.0,1,2022,Philadelphia,76ers,Sacramento,Kings,226.0
